latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
15.6129,-92.90517,337.33,0.42,0.38,2018-04-01,1935,N20,VIIRS,n,2,293.18,3.41,D,0
15.79,-93.25906,337.69,0.41,0.37,2018-04-01,1935,N20,VIIRS,n,2,302.48,4.41,D,0
15.77191,-93.20235,340.26,0.55,0.51,2018-04-03,1857,N20,VIIRS,n,2,295.28,17.67,D,0
15.85117,-92.95166,309.66,0.51,0.41,2018-04-04,0729,N20,VIIRS,n,2,291.29,2.69,N,0
15.97192,-93.01458,367,0.49,0.41,2018-04-06,1941,N20,VIIRS,h,2,297.91,9.51,D,0
15.96823,-93.01393,343.95,0.49,0.41,2018-04-06,1941,N20,VIIRS,n,2,292.65,9.51,D,0
15.97249,-93.01984,322.59,0.5,0.49,2018-04-07,0813,N20,VIIRS,n,2,288.69,2.7,N,0
15.96887,-93.02491,312.52,0.5,0.49,2018-04-07,0813,N20,VIIRS,n,2,287.78,2.03,N,0
15.97332,-93.02412,319.18,0.5,0.49,2018-04-07,0813,N20,VIIRS,n,2,287.75,2.7,N,0
15.96481,-93.01878,306.14,0.5,0.49,2018-04-07,0813,N20,VIIRS,n,2,287.15,2.47,N,0
15.96929,-93.01812,301.6,0.5,0.49,2018-04-07,0813,N20,VIIRS,n,2,288.12,2.47,N,0
15.9701,-93.02251,332.12,0.5,0.49,2018-04-07,0813,N20,VIIRS,n,2,289.1,2.47,N,0
15.97378,-93.0175,303.46,0.5,0.49,2018-04-07,0813,N20,VIIRS,n,2,287.93,3,N,0
15.97457,-93.02179,315.16,0.5,0.49,2018-04-07,0813,N20,VIIRS,n,2,287.88,3,N,0
15.96801,-93.0205,313.58,0.5,0.49,2018-04-07,0813,N20,VIIRS,n,2,288.14,2.03,N,0
15.96997,-93.02805,314.85,0.42,0.37,2018-04-08,0754,N20,VIIRS,n,2,289.63,1.15,N,0
15.97338,-93.02744,299.81,0.42,0.37,2018-04-08,0754,N20,VIIRS,n,2,289.47,1.15,N,0
15.96862,-93.02845,343.45,0.42,0.45,2018-04-08,1904,N20,VIIRS,n,2,295.77,5.39,D,0
16.02519,-93.19611,330.14,0.44,0.63,2018-04-09,1845,N20,VIIRS,n,2,299.09,4.36,D,0
16.01775,-93.20363,332.49,0.44,0.63,2018-04-09,1845,N20,VIIRS,n,2,296.91,5.12,D,0
15.45056,-92.62158,340.54,0.42,0.61,2018-04-09,1845,N20,VIIRS,n,2,295.65,8.84,D,0
16.01077,-93.20673,342.13,0.41,0.6,2018-04-10,2006,N20,VIIRS,n,2,300.58,9.64,D,0
16.0116,-93.20631,349.84,0.41,0.6,2018-04-10,2006,N20,VIIRS,n,2,299.79,10.06,D,0
15.95101,-92.98193,312.6,0.49,0.4,2018-04-13,0801,N20,VIIRS,n,2,289.44,2.17,N,0
15.94494,-92.9772,310.74,0.39,0.36,2018-04-14,0742,N20,VIIRS,n,2,289.92,0.88,N,0
15.94991,-92.98745,329.56,0.39,0.36,2018-04-14,0742,N20,VIIRS,n,2,291.34,1.44,N,0
