latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
15.78445,-92.82645,330.95,0.33,0.55,2016-01-11,1853,SNPP,SNPP,n,2,291.57,5.55,D,0
15.33022,-92.66241,339.62,0.42,0.38,2016-01-15,1918,SNPP,SNPP,n,2,301.7,4.4,D,0
15.34864,-92.61092,344.6,0.51,0.41,2016-01-19,1943,SNPP,SNPP,n,2,298.6,7.06,D,0
15.6129,-92.53468,327.06,0.39,0.36,2016-01-20,1925,SNPP,SNPP,n,2,295.63,1.62,D,0
15.62107,-92.52135,341.62,0.5,0.49,2016-02-01,1859,SNPP,SNPP,n,2,300.21,6.17,D,0
15.66389,-93.09152,344.91,0.39,0.36,2016-02-05,1924,SNPP,SNPP,n,2,307.24,7.66,D,0
15.80303,-93.22986,319.4,0.41,0.37,2016-02-06,0756,SNPP,SNPP,n,2,291.4,1.96,N,0
15.80645,-93.22935,303.53,0.41,0.37,2016-02-06,0756,SNPP,SNPP,n,2,291.26,0.55,N,0
15.80653,-93.23003,332.49,0.44,0.46,2016-02-06,1906,SNPP,SNPP,n,2,297.21,3.33,D,0
15.32684,-92.65439,315.34,0.42,0.38,2016-02-07,0738,SNPP,SNPP,n,2,295.58,2.27,N,0
15.81115,-93.23415,310.85,0.45,0.39,2016-02-07,0738,SNPP,SNPP,n,2,291.89,0.83,N,0
15.80763,-93.23487,306.37,0.45,0.39,2016-02-07,0738,SNPP,SNPP,n,2,291.66,0.81,N,0
15.80705,-93.23084,301.8,0.44,0.39,2016-02-07,0738,SNPP,SNPP,n,2,291.73,0.81,N,0
15.80593,-93.22305,308.8,0.44,0.39,2016-02-07,0738,SNPP,SNPP,n,2,292.59,1.46,N,0
15.80296,-93.2276,315.15,0.44,0.39,2016-02-07,0738,SNPP,SNPP,n,2,292.99,1.46,N,0
15.8024,-93.22371,317.65,0.44,0.39,2016-02-07,0738,SNPP,SNPP,n,2,292.75,1.46,N,0
15.37391,-92.72768,343.9,0.42,0.61,2016-02-07,1847,SNPP,SNPP,n,2,283.95,5.86,D,0
15.35525,-92.63078,309.78,0.5,0.49,2016-02-08,0719,SNPP,SNPP,n,2,291.17,1.52,N,0
