fecha,temp_max,humedad_media,viento_max,precipitacion,es_incendio,cluster_kmeans,is_anomaly,anomaly_score
2015-01-01,21.9,63,9.6,0.2,0,2,1,0.12680129408866914
2015-01-02,24.7,60,6.9,0.0,0,2,1,0.037164507626135435
2015-01-03,23.6,61,4.8,0.0,0,2,1,0.029910930827385718
2015-01-04,23.8,60,9.9,0.0,0,2,1,0.08742220405869344
2015-01-05,23.2,61,20.2,0.0,0,2,1,0.043137774473082646
2015-01-06,22.0,65,19.1,0.0,0,2,1,0.10441321519409374
2015-01-07,22.5,54,16.3,0.0,0,2,1,0.034905535636460594
2015-01-08,22.1,55,15.3,0.0,0,2,1,0.05722370083973588
2015-01-09,22.3,61,11.8,0.0,0,2,1,0.11291804916575238
2015-01-10,23.0,60,9.4,0.0,0,2,1,0.09395415823695952
2015-01-11,23.6,63,8.7,0.0,0,2,1,0.10605299278423391
2015-01-12,24.1,65,11.2,0.0,0,2,1,0.10908931823651896
2015-01-13,24.1,62,10.9,0.0,0,2,1,0.09309396544585402
2015-01-14,22.4,64,10.7,0.0,1,2,1,0.13192472483122142
2015-01-15,22.6,64,10.1,0.0,0,2,1,0.12434293742973573
2015-01-16,19.2,73,11.4,0.0,0,0,1,0.16149211340142083
2015-01-17,24.0,64,9.9,0.0,0,2,1,0.1083541000352305
2015-01-18,23.0,58,14.0,0.0,0,2,1,0.07591017026753588
2015-01-19,21.4,60,8.0,0.0,0,2,1,0.09012529575602829
2015-01-20,23.4,59,4.9,0.0,0,2,1,0.018760983944643317
2015-01-21,23.6,58,5.2,0.0,0,2,1,0.021329707016440658
2015-01-22,23.5,58,8.4,0.0,0,2,1,0.07094067767136808
2015-01-23,22.7,61,7.6,0.0,0,2,1,0.09162016155862485
2015-01-24,19.4,68,14.5,0.5,0,3,1,0.12753121294471348
2015-01-25,23.0,60,7.1,0.0,0,2,1,0.06968922544071399
2015-01-26,22.5,59,13.8,0.0,0,2,1,0.08873003970029314
2015-01-27,22.8,56,11.3,0.0,0,2,1,0.06961198499642057
2015-01-28,23.3,48,11.2,0.0,1,2,1,0.025989014627626372
2015-01-29,22.7,51,10.7,0.0,0,2,1,0.03301044787211349
2015-01-30,22.0,55,12.8,0.0,0,2,1,0.07735595904293657
2015-01-31,23.4,53,7.7,0.0,1,2,1,0.03313222231516699
2015-02-01,23.7,55,5.3,0.0,0,2,1,0.000119554360259011
2015-02-02,24.6,58,10.2,0.0,0,2,1,0.06307378972845579
2015-02-03,24.2,61,9.7,0.0,0,2,1,0.08581249999564622
2015-02-04,23.4,62,7.5,0.0,0,2,1,0.08677058464424686
2015-02-05,20.5,65,15.6,0.0,0,2,1,0.12833681806884384
2015-02-06,19.7,63,15.5,0.1,0,3,1,0.09930518099090346
2015-02-07,22.4,59,9.2,0.0,0,2,1,0.10053213450827164
2015-02-08,22.6,60,7.4,0.0,1,2,1,0.07481509279387838
2015-02-09,23.2,66,6.8,0.0,0,2,1,0.09587569455457201
2015-02-10,22.8,60,8.9,0.0,0,2,1,0.09527977900000162
2015-02-11,21.9,57,6.0,0.2,0,2,1,0.033367868901883035
2015-02-12,22.0,68,6.2,2.4,0,2,1,0.09119860315963618
2015-02-13,23.2,57,11.7,0.0,0,2,1,0.07381143665309903
2015-02-14,22.8,55,13.3,0.0,0,2,1,0.05993458150705655
2015-02-15,23.7,53,8.7,0.0,0,2,1,0.03628463022422779
2015-02-16,24.8,57,6.3,0.0,0,2,1,0.01789005052586079
2015-02-17,25.7,55,6.1,0.0,0,2,-1,-0.023896927493341602
2015-02-18,24.0,61,11.7,0.2,1,2,1,0.07386256873054853
2015-02-19,23.6,60,15.0,0.0,0,2,1,0.07524808182938358
2015-02-20,24.0,60,7.0,0.0,0,2,1,0.06424743677761574
2015-02-21,23.6,63,6.6,0.0,0,2,1,0.07652508988165257
2015-02-22,26.0,56,5.9,0.0,0,2,-1,-0.03658965742304143
2015-02-23,26.2,50,7.4,0.0,0,2,-1,-0.06217669483832744
2015-02-24,24.4,57,7.6,0.0,0,2,1,0.05017470325952045
2015-02-25,23.5,59,12.5,0.0,0,2,1,0.08425758581669879
2015-02-26,24.2,64,7.8,0.0,0,2,1,0.09464640245256045
2015-02-27,23.2,62,8.7,1.3,0,2,1,0.08454898941133876
2015-02-28,24.4,62,8.9,0.0,0,2,1,0.07807889681302344
2015-03-01,25.6,55,8.4,0.0,1,2,1,0.0013406884757436455
2015-03-02,26.0,51,10.2,0.0,0,2,-1,-0.03824639680999575
2015-03-03,25.5,54,7.4,0.0,0,2,-1,-0.010677766659812571
2015-03-04,25.7,60,9.2,0.0,0,2,1,0.030495925314130368
2015-03-05,27.0,52,9.5,0.0,0,2,-1,-0.04908509651274362
2015-03-06,20.8,67,16.6,1.1,0,3,1,0.11450171196655179
2015-03-07,24.3,60,17.3,0.0,0,2,1,0.04563386361135602
2015-03-08,25.2,52,10.9,0.0,0,2,-1,-0.004262731194297098
2015-03-09,24.6,50,6.9,0.0,0,2,-1,-0.013445027938341014
2015-03-10,24.2,48,4.7,0.0,0,2,-1,-0.04276949385937834
2015-03-11,27.0,47,6.9,0.0,0,2,-1,-0.08141975732304907
2015-03-12,25.3,63,9.5,1.1,0,2,1,0.028145041749635946
2015-03-13,25.2,62,9.1,0.4,0,2,1,0.02915658903000229
2015-03-14,24.6,57,6.4,0.3,0,2,1,0.010985270498085509
2015-03-15,22.2,64,8.3,0.1,0,2,1,0.13045436968706414
2015-03-16,25.2,57,12.5,0.0,0,2,1,0.037511732920004315
2015-03-17,24.4,54,7.9,0.0,0,2,1,0.03106675712310314
2015-03-18,23.9,53,6.4,0.8,0,2,-1,-0.012139804305069002
2015-03-19,22.0,66,8.7,0.2,0,2,1,0.14200128819142627
2015-03-20,19.8,73,6.4,2.1,0,0,1,0.12095443714900589
2015-03-21,23.1,70,9.4,0.4,0,2,1,0.1289545304114642
2015-03-22,22.7,69,5.9,0.7,0,2,1,0.09641675279782225
2015-03-23,24.3,67,6.7,0.9,1,2,1,0.06781504148839623
